GEAR_GROUP_CODE,GEAR_GROUP,GEAR_GROUP_FR,SPECIES_CODE,NAME_EN,NAME_FR,SPECIES_SCIENTIFIC,SPECIES_GROUP,IS_AGGREGATE,SPECIES_CATEGORY_CODE
PL,Pole-and-lines,Cannes,SRX,Rays and stingrays and mantas nei,"Raies, pastenagues, mantes nca",Rajiformes,Other rays,TRUE,RAYS
PS,Purse seines,Sennes,ALV,Thresher,Renard,Alopias vulpinus,Thresher sharks,FALSE,SHARKS
PS,Purse seines,Sennes,BTH,Bigeye thresher,Renard à gros yeux,Alopias superciliosus,Thresher sharks,FALSE,SHARKS
PS,Purse seines,Sennes,FAL,Silky shark,Requin soyeux,Carcharhinus falciformis,Other sharks,FALSE,SHARKS
PS,Purse seines,Sennes,OCS,Oceanic whitetip shark,Requin océanique,Carcharhinus longimanus,Other sharks,FALSE,SHARKS
PS,Purse seines,Sennes,PTH,Pelagic thresher,Renard pélagique,Alopias pelagicus,Thresher sharks,FALSE,SHARKS
PS,Purse seines,Sennes,RMA,Alfred manta,,Mobula alfredi,Mobulid rays,FALSE,RAYS
PS,Purse seines,Sennes,RMB,Giant manta,Mante géante,Mobula birostris,Mobulid rays,FALSE,RAYS
PS,Purse seines,Sennes,RME,Longhorned mobula,,Mobula eregoodoo,Mobulid rays,FALSE,RAYS
PS,Purse seines,Sennes,RMK,Shortfin devil ray,Petit diable,Mobula kuhlii,Mobulid rays,FALSE,RAYS
PS,Purse seines,Sennes,RMM,Devil fish,,Mobula mobular,Mobulid rays,FALSE,RAYS
PS,Purse seines,Sennes,RMO,Smoothtail mobula,Mante vampire,Mobula thurstoni,Mobulid rays,FALSE,RAYS
PS,Purse seines,Sennes,RMT,Chilean devil ray,,Mobula tarapacana,Mobulid rays,FALSE,RAYS
